"candidato_id","nome","nome_urna","partido_sigla"
40000608202,"ANA CLAUDIA CHAVES BANDEIRA DE MELO","ANA CLAUDIA","PT"
40000610425,"MARIA ODIMAR DA SILVA GUIMARAES","ODIMAR GUIMARÃES","PT"
40000604137,"FRANCISCO JORGE RIBEIRO GUIMARÃES","JORGE GUIMARÃES","PT"
40000608219,"PEDRO MALTA DE ARAUJO","PEDRO MALTA ","PT"
40000608224,"WALDEMIR JOSE DA SILVA","WALDEMIR JOSE","PT"
40000610429,"JOSE RICARDO WENDLING","JOSÉ RICARDO","PT"
40000608221,"RAIMUNDO NONATO CORREIA SANTIAGO","RAIMUNDO SANTIAGO","PT"
40000608211,"EDSON DE ARAUJO SANTOS","EDSON DO COMERCIO","PT"
40000608216,"JOÃO PEDRO GONÇALVES DA COSTA","JOAO PEDRO","PT"
40000608215,"JOAO ALVES DA COSTA","JOAO BOLINHO","PT"
40000608222,"RONALD NASCIMENTO DE SEIXAS","RONALD SEIXAS","PT"
40000608220,"PERINNER JOAO FERNANDES ASSIS","PROFESSOR PERINNER ASSIS","PT"
40000608210,"EDIVAN CASTILHO FERREIRA","EDIVAN CASTILHO","PT"
40000608203,"CRISTIANE AMARAL SALES TELLES","CRISTIANE SALES","PT"
40000629879,"MARIA DO PERPÉTUO SOCORRO MARINHO PRADO","SOCORRO PRADO","PT"
40000608204,"ELIANE DA SILVA OLIVEIRA","ELIANE PEIXOTO","PT"
40000610427,"CICERO CUSTÓDIO DA SILVA","SASSÁ DA CONSTRUÇÃO CIVIL","PT"
40000629896,"THIAGO MEDEIROS","THIAGO MEDEIROS","PT"
40000608223,"VALDEMIR DE SOUZA SANTANA","VALDEMIR","PT"
40000608205,"MARIANA FERREIRA VELEZ","MARIANA FERREIRA","PT"
40000608208,"DENIS DA SILVA PEREIRA","PROFESSOR DENIS","PT"
30000604538,"IVANEIA DE SOUZA ALVES","PROFESSORA IVANEIA ALVES","PT"
30000604541,"OTAVIO JUNIOR BRITO DOS SANTOS","PROFESSOR OTÁVIO","PT"
30000604532,"EDNA MELO RIBEIRO","EDNA MELO","PT"
30000604543,"DAIMINI BRAGA DE ARAUJO","DAIMINI","PT"
30000604524,"FRANCO DE SA AIEZZA","FRANCO SÁ","PT"
30000604525,"ISAAC SILVA GOMES","ISAAC SILVA","PT"
30000604528,"SILVINO VIANA RABELO","RABELO","PT"
30000620099,"MARIA DALVA DE SOUZA FIGUEIREDO","DALVA 1313","PT"
30000620048,"IVANILDO LUCIANO DA LUZ","IVANILDO LUZ","PT"
30000604526,"RUBEM DE LIMA PACHECO JUNIOR","RUBEM JUNIOR","PT"
30000604536,"BELARMINO BORGES GOMES","TIO GIGANTE","PT"
30000630066,"SANDRA MARIA PORTAL DE ALMEIDA","SANDRA ALMEIDA","PT"
30000620095,"EDILSON VIEIRA ROCHA","ROCHA DO SUCATÃO","PT"
30000604537,"SEBASTIAO DA SILVA LEITAO","SEBASTIÃO LEITÃO","PT"
30000604539,"LUIZ REIS PINHEIRO","SARNEY PINHEIRO","PT"
30000620096,"ERROLFLYNN DE SOUZA PAIXAO","ERROLFLYNN PAIXÃO","PT"
30000620097,"JUCICLEBER FRANCISCO DA SILVA CASTRO","PROFESSOR JUCICLEBER","PT"
30000604527,"EVALDO BARROS MONTEIRO","EVALDO MONTEIRO","PT"
30000620098,"LEIDE MARIA PANTOJA FERREIRA","LEIDE FERREIRA","PT"
30000604523,"MANOEL BRAGA PINTO","BRAGA DO PT","PT"
30000620093,"ANTONIA DO SOCORRO NOGUEIRA DE SOUZA","SOCORRO NOGUEIRA","PT"
30000604542,"ISAMEYRE DA CUNHA NASCIMENTO","ISA NASCIMENTO","PT"
30000604540,"PLACIDO PEREIRA VIEIRA","PLÁCIDO VIEIRA","PT"
30000620047,"MARCO ANTONIO DE LIMA NUNES","NUNES","PT"
30000604534,"MARCELO DA SILVA","MARCELÃO DO PT","PT"
30000604529,"BEANE GOMES FERREIRA","BEANE GOMES","PT"
30000620094,"DORALICE NASCIMENTO DE SOUZA","DORA NASCIMENTO","PT"
30000620100,"ROSINETE DUARTE PACHECO","ROSE DUARTE","PT"
30000604533,"KATIA SIMONE ALMEIDA SETUBAL","KATIA SETUBAL","PT"
30000604531,"BENILSON DA SILVA VILHENA BRITO","BENILSON BRITO","PT"
30000604535,"MARIA ISABEL NOGUEIRA DE SOUSA","ISABEL NOGUEIRA","PT"
30000604530,"ANA LUCIA BANHA PICANCO NUNES","PROFESSORA LÚCIA BANHA","PT"
50000608055,"GERALDO SIMOES DE OLIVEIRA","GERALDO SIMÕES","PT"
50000620051,"VALMIR CARLOS DA ASSUNÇÃO","VALMIR ASSUNÇÃO","PT"
50000607980,"FRANCISCA ALVES RIBEIRO","CHICA DO PT","PT"
50000607985,"JOSÉ RAIMUNDO FONTES","ZÉ RAIMUNDO","PT"
50000607982,"JACKSON DOS SANTOS JOSUÉ","JACKSON","PT"
50000607990,"OSNI CARDOSO DE ARAÚJO","OSNI","PT"
50000607977,"UBIRAJARA DA SILVA RAMOS COROA","BIRA COROA","PT"
50000607793,"MANUELA CRISTINA BISPO DA CRUZ","MANU","PT"
50000607795,"CRISTINA BATISTA PORTO","CRISTINA PORTO","PT"
50000607988,"MARIA DEL CARMEN FIDALGO SANCHEZ PUGA","MARIA DEL CARMEN","PT"
50000607991,"RADIOVALDO COSTA SANTOS","RADIOVALDO","PT"
50000608012,"PAULO FERNANDO RANGEL DE LIMA","PAULO RANGEL","PT"
50000607794,"VERA LUCIA SANTOS DE JESUS","VERA LÚCIA","PT"
50000607984,"JONES DE OLIVEIRA CARVALHO","JONES CARVALHO","PT"
50000607993,"GILVÂNIA MARIA VIANA MARTINS","GILVÂNIA VIANA","PT"
50000607788,"JOSÉ CERQUEIRA DE SANTANA NETO","ZÉ NETO","PT"
50000607711,"RUI COSTA DOS SANTOS","RUI COSTA","PT"
50000607790,"ELISANGELA DOS SANTOS ARAUJO","ELISANGELA","PT"
50000607789,"AFONSO BANDEIRA FLORENCE","AFONSO FLORENCE","PT"
50000608009,"ROSIVAL LEITE DA SILVA","ROSIVAL LEITE","PT"
50000607979,"MARIA DE FATIMA NUNES DO CARMO","FÁTIMA NUNES","PT"
50000607785,"CARLOS MARTINS MARQUES DE SANTANA","CARLOS MARTINS","PT"
50000607992,"ROBINSON SANTOS ALMEIDA","ROBINSON","PT"
50000607786,"JOSEILDO RIBEIRO RAMOS","JOSEILDO RAMOS","PT"
50000607986,"LUIZ ALBERTO SILVA DOS SANTOS","LUIZ ALBERTO","PT"
50000607712,"JAQUES WAGNER","JAQUES WAGNER","PT"
50000607976,"BELDES LUIS PEREIRA RAMOS","BELDES RAMOS","PT"
50000607983,"MARIO AUGUSTO DE ALMEIDA NETO","JACÓ","PT"
50000607978,"DANILLO LIBARINO ASSUNCAO","DANILLO ASSUNÇÃO","PT"
50000608010,"KATIA CRISTINA ALVES DE SOUZA","KATIA DA SAÚDE","PT"
50000607987,"MARCELINO ANTÔNIO MARTINS GALO","MARCELINO GALO","PT"
50000607994,"ROSEMBERG EVANGELISTA PINTO","ROSEMBERG","PT"
50000607995,"LUIZ CARLOS SANTOS LIMA","LUIZ CARLOS SUICA","PT"
50000620045,"NELSON VICENTE PORTELA PELLEGRINO","PELEGRINO","PT"
50000607989,"NEUSA CADORE","NEUSA CADORE","PT"
50000607791,"LUIZ CARLOS CAETANO","CAETANO","PT"
50000607981,"ISABEL CRISTINA SANTOS GUIMARAES","ISABEL GUIMARÃES","PT"
50000608011,"SHIRLENE PEREIRA DE SOUZA","SHIRLENE SOUZA","PT"
50000620044,"JOSIAS GOMES DA SILVA","JOSIAS GOMES","PT"
50000607792,"JORGE JOSÉ SANTOS PEREIRA SOLLA","JORGE SOLLA","PT"
50000607787,"WALDENOR ALVES PEREIRA FILHO","WALDENOR PEREIRA","PT"
50000608014,"TEREZINHA GOMES TAVARES","TEREZINHA GOMES","PT"
60000612041,"MARIA ELZIVONE DE MAGALHAES BEZERRA COSTA","ELZIVONE","PT"
60000612034,"JORGE GOERSCH NETO","JORGE GOESRSCH","PT"
60000612037,"JOSE JURANCILIO DO NASCIMENTO","NASCIMENTO","PT"
60000612045,"PEDRO NETO LOBO SOARES","PEDRO LOBO","PT"
60000612073,"CLAUDIOMAR LOPES DE SOUSA","KEBA RAFAEL","PT"
