"eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","SILVINHO","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DIVINO","PSB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","LUCIA RAMOS","PSB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","GENESIO DA CANDEEIRO","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ROSE","PROS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ARTHUR SOS NATUREZA","PTC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","EDMO BRANDAO","PATRIOTA"
"Eleições Gerais Estaduais 2018","ES","VICE-GOVERNADOR","ROGÉRIO ZAMPERLINI","PSL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MOROBA","PT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","IRINY LOPES","PT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARCIO AMARAL","PPS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ZILDA GUIMARÃES","MDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","CLIO VENTURIM","PRB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","DR. JORGE SILVA","SOLIDARIEDADE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","VALTEIR DA SIM","PSC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARQUINHOS MENDES - RATINHO","PSC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","SARGENTO RANGEL","PSC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DOUTOR ADAIL","MDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","DANTAS EBENEZER","PRB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","EDENIL","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","GILSON GOMES FILHO","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DJ JERÊ","DC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","CARMEM BARCELLOS","REDE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","VANDINHO LEITE","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ROZILDA SALET","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","HERMANN MORAES","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","LEANDRO MACHADO","PRTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","FOLETTO","PSB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","NEUZINHA DE OLIVEIRA ","PSDB"
"Eleições Gerais Estaduais 2018","ES","SENADOR","FABIANO CONTARATO","REDE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","RAMON GARCIA","MDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","FRANCIS TULIPA","PPS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","CANTOR NILTINHO","PSC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ANA PAULA GONÇALVES","PTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DOUTOR HÉRCULES","MDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","BRUNA BARBIERI","PT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","CORONEL ALEXANDRE QUINTINO","PSL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ANDRÉ GARCIA","MDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","BRUNA GATI","PSOL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","NENA SANTOS","PC do B"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","JOÃO BRAGA","PC do B"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","SUELI LIMA","PP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","PEDRO CAETANO","PMB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","ZE ANEZIO","PSOL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","PASTOR CLAIBER","PSC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","NATALIA DE SOUZA","PHS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARQUINHO SANTOS","PT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","ANTÔNIO EMÍLIO","PPS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DANIEL ENDLICH","PPS"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","FABIO JUNIO","PT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","NIVALDO CAMINHONEIRO","PRP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DALTON PERIM","MDB"
"Eleições Gerais Estaduais 2018","ES","1º SUPLENTE","SARGENTO ROBSON","PSL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","LOURIVAL DO PT","PT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","CAMILA VALADAO","PSOL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","CASSIA TRADIÇÃO","DC"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","OZEIAS LOPES","PTB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","WANDER SHOW","PRP"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","DRA. SORAYA MANATO","PSL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","BIRA LYRA","PDT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","DELEID DA FONSECA","PSL"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","JULIANO BROETTO","PODE"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO ESTADUAL","MARCELOL CAPILÉ","PC do B"
"Eleições Gerais Estaduais 2018","ES","1º SUPLENTE","EUTEMAR VENTURIM","PSDB"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","LUARA","PT"
"Eleições Gerais Estaduais 2018","ES","DEPUTADO FEDERAL","GETULIO FOTOGRAFO","PRTB"
