"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"59","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ADRIANO MARROCOS","PSD"
"60","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","JUSTO MAGALHÃES","REDE"
"61","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","UDSON SOARES ","PR"
"62","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","STANLEY SALGADO","PTB"
"63","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","ANTONIO CARDOSO","PSOL"
"64","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PROF ADEMILSOM","PMN"
"65","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","TONINHO DO PSOL","PSOL"
"66","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DANIELLE BARRETO","REDE"
"67","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MARLON COSTA","PSB"
"68","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CHRISTIANA INOCENCIO","PSC"
"69","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","WILYE CAMPOS","PTB"
"70","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","AGENILDO NERI","PRB"
"71","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PROFESSOR MANOEL MORAIS","PPS"
"72","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","JOSÉ AUGUSTO CAPILÉ","REDE"
"73","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","SOCORRO FERREIRA","MDB"
"74","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MARCIO DOS FEIRANTES","MDB"
"75","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PEDRO BARROS","PP"
"76","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PASTORA WALL","PT"
"77","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","LINDA MARTINS","PRB"
"78","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","GUALTER VIEIRA","PATRIOTA"
"79","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","UZIAS MATOS","DEM"
"80","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","NILDO NAVES","PRP"
"81","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","FÁTIMA TANAKA","PRP"
"82","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","THIAGO MANZONI","NOVO"
"83","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","NEIDE NEIVA","PP"
"84","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","RAQUEL BOGÉA","PRB"
"85","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","GALEGA DO PASTEL","PTB"
"86","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MÔNICA ALVARES","PSDB"
"87","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","HELLEN FRIDA","PT"
"88","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","BENEDITO GALVAO","PR"
"89","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PAULO RENATO","PMB"
"90","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ALDEMIR DOMICIO","PC do B"
"91","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DEUNENE PIERRE","PR"
"92","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ST MANOEL SOUZA GASÚ","PSB"
"93","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PAULO CORRÊA","MDB"
"94","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PROFESSOR REGINALDO VERAS","PDT"
"95","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","LANA MIRANDA","PRB"
"96","Eleições Gerais Estaduais 2018","DF","SENADOR","PROFESSORA AMÁBILE","PR"
"97","Eleições Gerais Estaduais 2018","DF","VICE-GOVERNADOR","ALEXANDRE BISPO","PR"
"98","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","KÁTIA TAVARES","PRB"
"99","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","SGT. WASHINGTON PATROCÍNIO","PRP"
"100","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","KELLY BOLSONARO","PRP"
"101","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ALEX RIBEIRO","PSL"
"102","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","EDSON RABELLO","PTB"
"103","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PAULO TORRES VIP","PSC"
"104","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","NATAN","PHS"
"105","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","JOÃO SALAS","PRP"
"106","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CLAUDIO PERIFERIA","PV"
"107","Eleições Gerais Estaduais 2018","DF","1º SUPLENTE","LUIS FELIPE BELMONTE","PSDB"
"108","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","JÂNIO ALVES","PC do B"
"109","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ELINE LEMOS","PDT"
"110","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CLÁUDIA VILHENA","NOVO"
"111","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ANDRE MATTAR","PR"
"112","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","MARIA CASSIANO","PP"
"113","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","VENÊ","PPS"
"114","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","FRAZÃO","NOVO"
"115","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ENIO MARÇAL","MDB"
"116","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ANINHA","PSB"
"117","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","OSÉIAS RIBEIRO","PHS"
"118","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DRA. ROMILDA","PATRIOTA"
"119","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","AMARAL","DC"
"120","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","LUISINHO","PT"
