"eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","ALVARO VASCONCELOS","PODE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","LENILDA DA SAÚDE","DEM"
"Eleições Gerais Estaduais 2018","AL","SENADOR","FLÁVIA MELO","PCO"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","AILTON VALDEVINO","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","DANIEL ANDERSON","PPL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","NANDO DO JAÇA","PV"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","INÁCIO LOIOLA","PDT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MAURO GUEDES","PV"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","DR. JOATHAS","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ALINE KINGO","PATRIOTA"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PROFESSOR LUIZINHO","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","VILMINHA","DC"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ROBERTO TEIXEIRA","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","ANDERSON PIMENTEL","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MARILOVE","PPL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ZÉ DO QUEIJO","PATRIOTA"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CIDA DO POVÃO","PV"
"Eleições Gerais Estaduais 2018","AL","1º SUPLENTE","EUDÓCIA CALDAS","PSB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","EDUARDO VASCONCELOS","PSB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","VANDERSON MENEZES","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PROFESSOR ASSIS BEZERRA","PPS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","SURUAGY JR","PHS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MARCINHO DO PARQUE AQUÁTICO","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","MARIA DE LOURDES","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","RANÚBIO LOPES","PPL"
"Eleições Gerais Estaduais 2018","AL","SENADOR","BENEDITO DE LIRA","PP"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","FRANCISMAR FARMACÊUTICO","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","EDJANE SANTOS","DEM"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ELIDA MIRANDA","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","YVAN BELTRÃO","PSD"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","FRANCISCO TENÓRIO","PMN"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","WASHINGTON FALCAO","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PAULO LÉLIS","PATRIOTA"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MÁRCIA MEIRELLYS","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","BENEDITO PROCÓPIO","PT"
"Eleições Gerais Estaduais 2018","AL","GOVERNADOR","MELQUEZEDEQUE FARIAS","PCO"
"Eleições Gerais Estaduais 2018","AL","1º SUPLENTE","LUIZ ROMERO FARIAS","PR"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ANA PEREIRA","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ZÉ ALFREDO","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","DA SILVA DO POSTO ","PV"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","RISO","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","DR. ROMMEL","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","FERREIRA HORA","PRTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PAPAI NOEL","DC"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MARIA DO SOCORRO","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","TETELPONTOCOM","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","PEDRO VILELA","PSDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","SÉRGIO TOLEDO","PR"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","VALGETAN FERREIRA","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PROFESSOR EDMILSON","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CRISTOVÃO SILVESTRE","PATRIOTA"
"Eleições Gerais Estaduais 2018","AL","SENADOR","PROF. CICERO ALBUQUERQUE","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","PAULO FALCÃO","PSTU"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","IVANISE XARARAU","PSC"
"Eleições Gerais Estaduais 2018","AL","1º SUPLENTE","SARITA","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MARIA LÚCIA","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","DR. PAULO","SOLIDARIEDADE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","ADELMO ASSIS","NOVO"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","NILDO CORREIA","SOLIDARIEDADE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","BOMBEIRO SILVIO ALVES","PHS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ROSE ELESBÃO","PV"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CLAUDIO RIOS","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","ISNALDO BULHÕES","MDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","TIA ROSA","PV"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MÃE VERA","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","TIDA DO BREJINHO","PSD"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","JOÃO CALDAS","PSC"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","IRALDO SILVA","PROS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ÍNDIA SHAKTI SAMPAIO","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","HOLLANDA","PSD"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ADRIANO EUGÊNIO","PC do B"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","GEYSSON SANTOS","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","BETTO SOM","MDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MARCELA LIMA","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","KIKO","PPL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","DUDA ONÇA","PPS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","BIRA DO SINTAXI-AL","AVANTE"
"Eleições Gerais Estaduais 2018","AL","1º SUPLENTE","LUCIA TEOFILO","PSDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CLARA FERREIRA","PMN"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MAESTRO FERNANDES","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","GALVÃO","PRTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","ADERVAL TENÓRIO","PATRIOTA"
"Eleições Gerais Estaduais 2018","AL","SENADOR","OSVALDO MACIEL","PCB"
"Eleições Gerais Estaduais 2018","AL","2º SUPLENTE","NENEZA DOMINGOS","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","TEREZA NELMA","PSDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","DANIEL PONTES","PC do B"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","JOSI ARAPIRACA","MDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MAGNO DO PASTEL","PV"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","LENILDA DO SURURU","PPL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","FATIMA RODRIGUES","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CÉLIA ROCHA","PTC"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","LEO LOUREIRO","PP"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","JACIRA","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","SAMYR MALTA","PTC"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","REGIS CAVALCANTE","PPS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","JC","PPS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","PALHAÇO PIMPOLHO","PPL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ABACATE","MDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","JAMES RIBEIRO","PRTB"
"Eleições Gerais Estaduais 2018","AL","GOVERNADOR","FERNANDO COLLOR","PTC"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","JHC","PSB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MAMULENGO","PRTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","IRMÃO HÉLIO SILVA","DEM"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","NEIDE RODRIGUES","PHS"
