"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"58","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","JEFERSON FUSARO","PRB"
"59","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","TONIA CARLA","PT"
"60","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","PROCURADORA CATHY","PPS"
"61","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","LUIZ DA AMBULÂNCIA","PV"
"62","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","VICTOR CARTEIRO","MDB"
"63","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","JOSE VIEIRA","PSC"
"64","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","JULIANE DE ABREU VEIGA","PV"
"65","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","DIOGO RECH DO MANDATO COLETIVO","PSOL"
"66","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","DANIEL LANGARO","MDB"
"67","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","SIRINEU ZANCHI DE WITT","PSOL"
"68","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","VAVA LOCUTOR/FISIOTERAPEUTA","PRP"
"69","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","MAURÃO","PT"
"70","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","MARIO DE SA","PROS"
"71","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","LUIZ COM Z","PROS"
"72","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","SANDRO KUCZERA","PSC"
"73","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ADELIR PADILHA","REDE"
"74","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","DR MAGNO","PDT"
"75","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","JAIR PEREIRA (SINTESPAR)","PV"
"76","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","MICHELLE DURAN","PV"
"77","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","BIANCA PORTUGAL","PRTB"
"78","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PROF. GIANE LULA HERLLAIN","PT"
"79","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","PROF.. ANA PAULA PELLEGRINELLO","NOVO"
"80","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","MARIO HENRIQUE ALBERTON","PC do B"
"81","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ARTHUR RUSIK","PPS"
"82","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","LEANDRO OLIVEIRA","PSB"
"83","Eleições Gerais Estaduais 2018","PR","2º SUPLENTE","ANTONIO GUARIZA","PCO"
"84","Eleições Gerais Estaduais 2018","PR","GOVERNADOR","PROFESSOR IVAN BERNARDO","PSTU"
"85","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ANGELA PAULISTA","PRB"
"86","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ANIBELLI NETO","MDB"
"87","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","SIMONE CASTRO","PRTB"
"88","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","EDEMIR DA SAÚDE","PROS"
"89","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","BARÃO DA KOMBI VERDE","MDB"
"90","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","VALTER ORSI","PODE"
"91","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","LURDINHA DO POVO","PPS"
"92","Eleições Gerais Estaduais 2018","PR","GOVERNADOR","DR. ROSINHA","PT"
"93","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","MARCELO DA FROTA","PSOL"
"94","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","PROFESSOR CLICEU","PV"
"95","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","MARCIO PACHECO","PPL"
"96","Eleições Gerais Estaduais 2018","PR","2º SUPLENTE","IRONDI PUGLIESI","MDB"
"97","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","TANIA ALBERTI","PRB"
"98","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","NEY LEPREVOST","PSD"
"99","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","BROTHER LOYOLA","PTC"
"100","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","PROFESSOR JOÃO CARLOS GOMES","PP"
"101","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","DORIVAL SIMÕES","PV"
"102","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","GEORGE","PMN"
"103","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","MERIÃ ROCHA","PODE"
"104","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","DELEI DO DICO","PROS"
"105","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","ROLAND HASSON","NOVO"
"106","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","DENTINHO","PMN"
"107","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","SIMEONI","PDT"
"108","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","HAROLDO KIMURA","PPS"
"109","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ADRIANO NASCIMENTO","PV"
"110","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","MARCIO PAULIKI","SOLIDARIEDADE"
