"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"58","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","MICHELA LACERDA","PSL"
"59","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","ADRIANO CAMPELLO","PSL"
"60","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","JOAO REIS","PHS"
"61","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ITAMIR LIMA","PDT"
"62","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","HENRY NOGUEIRA","PROS"
"63","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","RUBERLÂNDIA","PP"
"64","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ORLANDO DINIZ","PR"
"65","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","ROSANA NASCIMENTO","PPS"
"66","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PASTORA HAYDA FERREIRA","PP"
"67","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ENGENHEIRA ALCINEYDE","PV"
"68","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","MARIVALDO MELO","PSD"
"69","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MANOEL COÂN","PP"
"70","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PASTOR ROBERTO","REDE"
"71","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","SARA GALVÃO","PSDB"
"72","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","CARLOS GOMES","REDE"
"73","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MAURO CONDE","PODE"
"74","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","HELENARA RODRIGUES","PHS"
"75","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","NENO","PPS"
"76","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","RONILDO ARAÚJO","PP"
"77","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","BOMBEIRO BRITO","PMB"
"78","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MANOEL IZO","DC"
"79","Eleições Gerais Estaduais 2018","AC","1º SUPLENTE","MARIA DAS VITÓRIAS","PSD"
"80","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","EDSON SILVA","PHS"
"81","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","NELSON SALES","PP"
"82","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","SERGIO JUNIOR","DC"
"83","Eleições Gerais Estaduais 2018","AC","SENADOR","MINORU KINPARA","REDE"
