"","screen_name","metricas","count"
"209","jannyellyguilh1","rts",0
"210","Nic_cocchi","rts",0
"211","bruninhaaac","rts",0
"212","monica_limann","rts",8
"213","LESBIANAEGI","rts",0
"214","yoalexiia","rts",0
"215","jmygredention","rts",0
"216","azapabro","rts",0
"217","Falomeixxxxmo","rts",2
"218","rassele_thiago","rts",0
"219","leo_rmcrf","rts",0
"220","CauanRodrigz","rts",0
"221","Suellen15363666","rts",0
"222","byankassantana","rts",0
"223","_biancabrito","rts",0
"224","Aloucadorealit2","rts",4
"225","pedrofirmo2016","rts",0
"226","juliaa_twt","rts",0
"227","SN00MLV","rts",0
"228","Splash_UOL","rts",1
"229","piovesandohauer","rts",0
"230","LittleAnngell","rts",0
"231","Dany_Borges84","rts",0
"232","tuitaagio","rts",0
"233","Silviavieiiraa","rts",0
"234","NathyMeloCP","rts",0
"235","UOL","rts",1
"236","gildymendes","rts",0
"237","babyBBB21","rts",0
"238","barbienbitch","rts",2
"239","maianamuniz","rts",1
"240","Fabiatriz","rts",0
"241","luciana_46","rts",1
"242","lahamdarocinha","rts",1
"243","ARonauthor","rts",1
"244","Thiagommmmm","rts",1
"245","DilaSoares9","rts",28
"246","alves_ylan","rts",0
"247","1999magnolia","rts",0
"248","yerimaionese","rts",0
"249","dhstefany","rts",143
"250","lua_tn","rts",0
"251","BBBBaile","rts",43
"252","Manuh_c_p","rts",0
"253","energi_zada","rts",0
"254","QueziaCrys","rts",0
"255","Cora_SCCP","rts",5
"256","oidboi","rts",3
"257","nahrezende_","rts",0
"258","choisanlovs","rts",0
"259","YERIKICK","rts",0
"260","tbslmedia","rts",0
"261","vidadeseriadora","rts",0
"262","Andremineiro","rts",0
"263","dinahspride","rts",0
"264","arrobafeminist","rts",0
"265","ffthelua","rts",0
"266","lupn8Os","rts",0
"267","Chanel5Spanic","rts",2
"268","brunobmadeiro","rts",0
"269","semnoombre","rts",0
"270","EliiSimpatia","rts",7
"271","fernandab_92","rts",0
"272","ijoaomarques","rts",0
"273","Rayelecristinaa","rts",0
"274","peganomeutheiss","rts",0
"275","melissacomenta","rts",0
"276","joycevones","rts",1
"277","lolli_tata","rts",0
"278","my_oliveira24","rts",0
"279","themarvelgreys","rts",0
"280","anartuita","rts",15
"281","DiegoComentando","rts",0
"282","KinaLazuli","rts",1
"283","ralahaters","rts",1
"284","lvargas_lva","rts",0
"285","TauanaR03177831","rts",1
"286","louieideal","rts",0
"287","linyoli","rts",0
"288","Julieperigosa","rts",0
"289","filhadesereiaa","rts",0
"290","layla__od","rts",0
"291","ncexIonaw","rts",0
"292","bbbindulgente","rts",0
"293","KhalinK3","rts",72
"294","itachiscars","rts",0
"295","Priscil80258646","rts",2
"296","inareverie25","rts",0
"297","RiNTSUN4","rts",0
"298","edinho_portugal","rts",0
"299","Supergancho2","rts",24
"300","Adriano07646076","rts",1
"301","LuhAntunes09","rts",3
"302","laisferrcos","rts",0
"303","MoquinhaRibas","rts",0
"304","Joaomli","rts",0
"305","danielesouzaM12","rts",0
"306","Tattaasz","rts",0
"307","fabiisanders","rts",0
"308","TEAMKLYSLIN","rts",0
"309","johnofc33","rts",0
"310","KOYACOSMIC","rts",0
"311","michelsouzaofc","rts",3
"312","DEARGHOSTHW","rts",0
"313","pvkaull","rts",3
"314","gabeflix","rts",0
"315","MoysaMya","rts",0
"316","MariaPCA1","rts",0
"317","raithisafranca","rts",4
"318","mcbeu12","rts",0
"319","DeOlhoBBBrasil","rts",8
"320","_CarlaCristtina","rts",1
"321","wonypurr","rts",0
"322","MarioMathers","rts",0
"323","Cervant85679608","rts",1
"324","toaquipisso","rts",0
"325","luane221","rts",1
"326","fuckmecaIeb","rts",0
"327","moniquefir","rts",0
"328","eusoubarbz","rts",67
"329","Iouwt91s","rts",0
"330","amandacarolmart","rts",0
"331","Miranize1","rts",0
"332","francivizzotto","rts",3
"333","RealityAoVivo","rts",25
"334","maahcomenta","rts",0
"335","_JuniorMaximo","rts",0
"336","Mariaelizar_","rts",0
"337","iamflavioojr","rts",1
"338","UmJefQualquer","rts",0
"339","anatrigilio","rts",4
"340","vcutfears","rts",0
"341","rogersoutoo","rts",0
